"journal","discipline","fullTitle"
"Disasters","Medicine","Disasters"
"Discov Med","Medicine","Discovery medicine"
"Diving Hyperb Med","Medicine","Diving and hyperbaric medicine"
"DNA Cell Biol","Cell Biology","DNA and cell biology"
"DNA Repair (Amst)","Biology","DNA repair"
"DNA Res","Unclassified","DNA research : an international journal for rapid publication of reports on genes and genomes"
"DNA Seq","Unclassified","DNA sequence : the journal of DNA sequencing and mapping"
"Doc Ophthalmol","Ophthalmology","Documenta ophthalmologica. Advances in ophthalmology"
"Dokl Akad Nauk SSSR","Multidisciplinary","Doklady Akademii nauk SSSR"
"Domest Anim Endocrinol","Endocrinology","Domestic animal endocrinology"
"Drug Alcohol Depend","Substance-Related Disorders","Drug and alcohol dependence"
"Drug Alcohol Rev","Substance-Related Disorders","Drug and alcohol review"
"Drug Chem Toxicol","Toxicology","Drug and chemical toxicology"
"Drug Deliv","Pharmacology","Drug delivery"
"Drug Deliv Transl Res","Pharmacology","Drug delivery and translational research"
"Drug Des Devel Ther","Drug Therapy","Drug design, development and therapy"
"Drug Dev Ind Pharm","Pharmacology","Drug development and industrial pharmacy"
"Drug Dev Res","Pharmacology","Drug development research"
"Drug Discov Ther","Pharmacology","Drug discoveries &therapeutics"
"Drug Discov Today","Pharmacology","Drug discovery today"
"Drug Discov Today Technol","Pharmacology","Drug discovery today. Technologies"
"Drug Metab Dispos","Pharmacology","Drug metabolism and disposition: the biological fate of chemicals"
"Drug Metab Lett","Pharmacology","Drug metabolism letters"
"Drug Metab Pharmacokinet","Pharmacology","Drug metabolism and pharmacokinetics"
"Drug Metab Rev","Pharmacology","Drug metabolism reviews"
"Drug Metabol Drug Interact","Pharmacology","Drug metabolism and drug interactions"
"Drug News Perspect","Pharmacology","Drug news &perspectives"
"Drug Resist Updat","Antineoplastic Agents","Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy"
"Drug Saf","Toxicology","Drug safety"
"Drug Test  Anal","Pharmacology","Drug testing and analysis"
"Drugs","Drug Therapy","Drugs"
"Drugs Aging","Drug Therapy","Drugs &aging"
"Drugs R","Drug Therapy","Drugs in &D"
"Dtsch Arztebl Int","Medicine","Deutsches ̈rzteblatt international"
"Dtsch Med Wochenschr","Medicine","Deutsche medizinische Wochenschrift (1946)"
"Duodecim","Medicine","Duodecim; lääketieteellinen aikakauskirja"
"Dynamics","Nursing","Dynamics (Pembroke, Ont.)"
"Dynamis","History of Medicine","Dynamis (Granada, Spain)"
"Dyslexia","Neurology","Dyslexia (Chichester, England)"
"Dysphagia","Gastroenterology","Dysphagia"
"Ear Hear","Audiology","Ear and hearing"
"Ear Nose Throat","Otolaryngology","Ear, nose, &throat journal"
"Early Hum Dev","Perinatology","Early human development"
"Early Interv Psychiatry","Psychiatry","Early intervention in psychiatry"
"East Afr J Public Health","Public Health","East African journal of public health"
"Eat Behav","Psychology","Eating behaviors"
"Eat Disord","Nutritional Sciences","Eating disorders"
"Eat Weight Disord","Medicine","Eating and weight disorders : EWD"
"EBioMedicine","Medicine","EBioMedicine"
"EBRI Issue Brief","Unclassified","EBRI issue brief / Employee Benefit Research Institute"
"Echocardiography","Cardiology","Echocardiography (Mount Kisco, N.Y.)"
"Ecohealth","Environmental Health","EcoHealth"
"Ecol Appl","Environmental Health","Ecological applications : a publication of the Ecological Society of America"
"Ecol Food Nutr","Nutritional Sciences","Ecology of food and nutrition"
"Ecol Lett","Environmental Health","Ecology letters"
"Ecology","Environmental Health","Ecology"
"Econ Hum Biol","Biology","Economics and human biology"
"Ecotoxicol Environ Saf","Toxicology","Ecotoxicology and environmental safety"
"Ecotoxicology","Toxicology","Ecotoxicology (London, England)"
"Educ Health (Abingdon)","Medicine","Education for health (Abingdon, England)"
"Educ Prim Care","Unclassified","Education for primary care : an official publication of the Association of Course Organisers, National Association of GP Tutors, World Organisation of Family Doctors"
"Egypt J Immunol","Immunology","The Egyptian journal of immunology / Egyptian Association of Immunologists"
"Einstein (Sao Paulo)","Medicine","Einstein (São Paulo, Brazil)"
"Eklem Hastalik Cerrahisi","Orthopedics","Eklem hastalıkları ve cerrahisi = Joint diseases &related surgery"
"Electromagn Biol Med","Medicine","Electromagnetic biology and medicine"
"Electrophoresis","Chemistry Techniques, Analytical","Electrophoresis"
"Elife","Biology","eLife"
"EMBO Mol Med","Medicine","EMBO molecular medicine"
"EMBO Rep","Molecular Biology","EMBO reports"
"Emerg Med (Fremantle)","Medicine","Emergency medicine (Fremantle, W.A.)"
"Emerg Med Australas","Medicine","Emergency medicine Australasia : EMA"
"Emerg Med Clin North Am","Medicine","Emergency medicine clinics of North America"
"Emerg Med","Medicine","Emergency medicine journal : EMJ"
"Emerg Med Serv","Medicine","Emergency medical services"
"Emerg Microbes Infect","Communicable Diseases","Emerging microbes &infections"
"Emerg Nurse","Nursing","Emergency nurse : the journal of the RCN Accident and Emergency Nursing Association"
"Emerg Radiol","Emergency Medicine","Emergency radiology"
"Emotion","Psychology","Emotion (Washington, D.C.)"
"EMS Mag","Medicine","EMS magazine"
"EMS World","Medicine","EMS world"
"Endeavour","Multidisciplinary","Endeavour"
"Endocr Dev","Endocrinology","Endocrine development"
"Endocr Metab Immune Disord Drug Targets","Allergy and Immunology","Endocrine, metabolic &immune disorders drug targets"
"Endocr Pathol","Medicine","Endocrine pathology"
"Endocr Pract","Endocrinology","Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists"
"Endocr Relat Cancer","Neoplasms","Endocrine-related cancer"
"Endocr Res","Endocrinology","Endocrine research"
"Endocr Rev","Endocrinology","Endocrine reviews"
"Endocrine","Endocrinology","Endocrine"
"Endocrinol Metab Clin North Am","Endocrinology","Endocrinology and metabolism clinics of North America"
"Endocrinol Nutr","Nutritional Sciences","Endocrinología y nutrición : órgano de la Sociedad Española de Endocrinología y Nutrición"
"Endocrinology","Endocrinology","Endocrinology"
"Endokrynol Diabetol Chor Przemiany Materii Wieku Rozw","Endocrinology","Endokrynologia, diabetologia i choroby przemiany materii wieku rozwojowego : organ Polskiego Towarzystwa Endokrynologów Dziecięcych"
"Endokrynol Pol","Endocrinology","Endokrynologia Polska"
"Endoscopy","Gastroenterology","Endoscopy"
"Endothelium","Cell Biology","Endothelium : journal of endothelial cell research"
"eNeuro","Neurology","eNeuro"
"Enferm Clin","Nursing","Enfermería clínica"
"Enferm Infecc Microbiol Clin","Microbiology","Enfermedades infecciosas y microbiología clínica"
"Environ Biosafety Res","Environmental Health","Environmental biosafety research"
"Environ Entomol","Zoology","Environmental entomology"
"Environ Geochem Health","Environmental Health","Environmental geochemistry and health"
"Environ Health","Environmental Health","Environmental health : a global access science source"
"Environ Health Perspect","Environmental Health","Environmental health perspectives"
"Environ Health Prev Med","Environmental Health","Environmental health and preventive medicine"
"Environ Int","Environmental Health","Environment international"
"Environ Manage","Environmental Health","Environmental management"
"Environ Microbiol","Microbiology","Environmental microbiology"
"Environ Microbiol Rep","Microbiology","Environmental microbiology reports"
"Environ Mol Mutagen","Unclassified","Environmental and molecular mutagenesis"
"Environ Monit Assess","Environmental Health","Environmental monitoring and assessment"
"Environ Pollut","Environmental Health","Environmental pollution (Barking, Essex : 1987)"
"Environ Res","Environmental Health","Environmental research"
"Environ Sci","Unclassified","Environmental sciences : an international journal of environmental physiology and toxicology"
"Environ Sci Pollut Res Int","Toxicology","Environmental science and pollution research international"
"Environ Sci Process Impacts","Environmental Health","Environmental science. Processes &impacts"
"Environ Sci Technol","Environmental Health","Environmental science &technology"
"Environ Technol","Environmental Health","Environmental technology"
"Environ Toxicol","Toxicology","Environmental toxicology"
"Environ Toxicol Chem","Toxicology","Environmental toxicology and chemistry / SETAC"
"Environ Toxicol Pharmacol","Pharmacology","Environmental toxicology and pharmacology"
"Enzyme Microb Technol","Biotechnology","Enzyme and microbial technology"
"Epidemics","Epidemiology","Epidemics"
"Epidemiol Prev","Epidemiology","Epidemiologia e prevenzione"
"Epidemiol Psichiatr Soc","Epidemiology","Epidemiologia e psichiatria sociale"
"Epidemiol Rev","Epidemiology","Epidemiologic reviews"
"Epidemiology","Epidemiology","Epidemiology (Cambridge, Mass.)"
"Epigenetics","Genetics","Epigenetics"
"Epigenomics","Genetics","Epigenomics"
"Epilepsia","Neurology","Epilepsia"
"Epilepsy Behav","Neurology","Epilepsy &behavior : &B"
"Epilepsy Res","Neurology","Epilepsy research"
"Epileptic Disord","Neurology","Epileptic disorders : international epilepsy journal with videotape"
"Ergonomics","Psychology","Ergonomics"
"Essays Biochem","Biochemistry","Essays in biochemistry"
"Ethiop J Health Sci","Medicine","Ethiopian journal of health sciences"
"Ethn Dis","Medicine","Ethnicity &disease"
"Ethn Health","Health Services","Ethnicity &health"
"Eur Addict Res","Substance-Related Disorders","European addiction research"
"Eur Arch Otorhinolaryngol","Otolaryngology","European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery"
"Eur Arch Psychiatry Clin Neurosci","Psychiatry","European archives of psychiatry and clinical neuroscience"
"Eur Cell Mater","Cell Biology","European cells &materials"
"Eur Child Adolesc Psychiatry","Psychiatry","European child &adolescent psychiatry"
"Eur Cytokine Netw","Allergy and Immunology","European cytokine network"
"Eur Eat Disord Rev","Nutritional Sciences","European eating disorders review : the journal of the Eating Disorders Association"
"Eur Heart J Acute Cardiovasc Care","Cardiology","European heart journal. Acute cardiovascular care"
"Eur Heart J Cardiovasc Imaging","Cardiology","European heart journal cardiovascular Imaging"
"Eur J Anaesthesiol","Anesthesiology","European journal of anaesthesiology"
"Eur J Appl Physiol","Physiology","European journal of applied physiology"
"Eur J Biochem","Biochemistry","European journal of biochemistry / FEBS"
"Eur J Cancer","Neoplasms","European journal of cancer"
"Eur J Cancer","Neoplasms","European journal of cancer (Oxford, England : 1990)"
"Eur J Cancer Prev","Neoplasms","European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP)"
"Eur J Cardiothorac Surg","General Surgery","European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery"
"Eur J Cardiovasc Nurs","Cardiology","European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology"
"Eur J Cardiovasc Prev Rehabil","Cardiology","European journal of cardiovascular prevention and rehabilitation : official journal of the European Society of Cardiology, Working Groups on Epidemiology &Prevention and Cardiac Rehabilitation and Exercise Physiology"
"Eur J Cell Biol","Cell Biology","European journal of cell biology"
"Eur J Clin Invest","Medicine","European journal of clinical investigation"
"Eur J Clin Pharmacol","Pharmacology","European journal of clinical pharmacology"
"Eur J Contracept Reprod Health Care","Medicine","The European journal of contraception &reproductive health care : the official journal of the European Society of Contraception"
"Eur J Dent Educ","Dentistry","European journal of dental education : official journal of the Association for Dental Education in Europe"
"Eur J Dermatol","Dermatology","European journal of dermatology : EJD"
"Eur J Drug Metab Pharmacokinet","Pharmacology","European journal of drug metabolism and pharmacokinetics"
"Eur J Echocardiogr","Cardiology","European journal of echocardiography : the journal of the Working Group on Echocardiography of the European Society of Cardiology"
"Eur J Emerg Med","Medicine","European journal of emergency medicine : official journal of the European Society for Emergency Medicine"
"Eur J Endocrinol","Endocrinology","European journal of endocrinology / European Federation of Endocrine Societies"
"Eur J Epidemiol","Epidemiology","European journal of epidemiology"
"Eur J Esthet Dent","Dentistry","The European journal of esthetic dentistry : official journal of the European Academy of Esthetic Dentistry"
"Eur J Gastroenterol Hepatol","Gastroenterology","European journal of gastroenterology &hepatology"
"Eur J Gen Pract","Primary Health Care","The European journal of general practice"
"Eur J Haematol","Hematology","European journal of haematology"
"Eur J Health Econ","Medicine","The European journal of health economics : HEPAC : health economics in prevention and care"
"Eur J Health Law","Jurisprudence","European journal of health law"
"Eur J Heart Fail","Cardiology","European journal of heart failure"
"Eur J Hum Genet","Genetics","European journal of human genetics : EJHG"
"Eur J Immunol","Immunology","European journal of immunology"
"Eur J Intern Med","Medicine","European journal of internal medicine"
"Eur J Med Chem","Medicine","European journal of medicinal chemistry"
"Eur J Med Genet","Medicine","European journal of medical genetics"
"Eur J Med Res","Medicine","European journal of medical research"
"Eur J Neurosci","Neurology","The European journal of neuroscience"
"Eur J Nucl Med Mol Imaging","Medicine","European journal of nuclear medicine and molecular imaging"
"Eur J Nutr","Nutritional Sciences","European journal of nutrition"
"Eur J Obstet Gynecol Reprod Biol","Gynecology","European journal of obstetrics, gynecology, and reproductive biology"
"Eur J Oncol Nurs","Neoplasms","European journal of oncology nursing : the official journal of European Oncology Nursing Society"
"Eur J Ophthalmol","Ophthalmology","European journal of ophthalmology"
"Eur J Oral Implantol","Dentistry","European journal of oral implantology"
"Eur J Oral Sci","Dentistry","European journal of oral sciences"
"Eur J Orthod","Orthodontics","European journal of orthodontics"
"Eur J Orthop Surg Traumatol","Traumatology","European journal of orthopaedic surgery &traumatology : orthopédie traumatologie"
"Eur J Paediatr Neurol","Pediatrics","European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society"
"Eur J Pain","Medicine","European journal of pain (London, England)"
"Eur J Pediatr","Pediatrics","European journal of pediatrics"
"Eur J Pediatr Surg","Pediatrics","European journal of pediatric surgery : official journal of Austrian Association of Pediatric Surgery ... [et al] = Zeitschrift für Kinderchirurgie"
"Eur J Pharm Biopharm","Pharmacology","European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft für Pharmazeutische Verfahrenstechnik e.V"
"Eur J Pharm Sci","Pharmacology","European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences"
"Eur J Pharmacol","Pharmacology","European journal of pharmacology"
"Eur J Prev Cardiol","Cardiology","European journal of preventive cardiology"
"Eur J Prosthodont Restor Dent","Dentistry","The European journal of prosthodontics and restorative dentistry"
"Eur J Protistol","Biology","European journal of protistology"
"Eur J Public Health","Public Health","European journal of public health"
"Eur J Radiol","Radiology","European journal of radiology"
"Eur J Sport Sci","Sports Medicine","European journal of sport science"
"Eur J Surg","General Surgery","The European journal of surgery = Acta chirurgica"
"Eur J Trauma Emerg Surg","Traumatology","European journal of trauma and emergency surgery : official publication of the European Trauma Society"
"Eur Neurol","Neurology","European neurology"
"Eur Neuropsychopharmacol","Neurology","European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology"
"Eur Phys J E Soft Matter","Unclassified","The European physical journal. E, Soft matter"
"Eur Psychiatry","Psychiatry","European psychiatry : the journal of the Association of European Psychiatrists"
"Eur Radiol","Radiology","European radiology"
"Eur Respir Rev","Pulmonary Medicine","European respiratory review : an official journal of the European Respiratory Society"
"Eur Spine","Orthopedics","European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society"
"Eur Surg Res","General Surgery","European surgical research. Europäische chirurgische Forschung. Recherches chirurgicales européennes"
"Eur Urol","Urology","European urology"
"Euro Surveill","Communicable Diseases","Euro surveillance : bulletin Européen sur les maladies transmissibles = European communicable disease bulletin"
"EuroIntervention","General Surgery","EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology"
"Europace","Cardiology","Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology"
"Eval Health Prof","Health Services Research","Evaluation &the health professions"
"Eval Program Plann","Health Services Research","Evaluation and program planning"
"Eval Rev","Health Services Research","Evaluation review"
"Evid Based Cardiovasc Med","Medicine","Evidence-based cardiovascular medicine"
"Evid Based Dent","Dentistry","Evidence-based dentistry"
"Evid Based Med","Medicine","Evidence-based medicine"
"Evid Based Ment Health","Psychology","Evidence-based mental health"
"Evid Based Nurs","Nursing","Evidence-based nursing"
"Evol Anthropol","Anthropology","Evolutionary anthropology"
"Evol Comput","Biology","Evolutionary computation"
"Evol Dev","Biology","Evolution &development"
"Evol Psychol","Biology","Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior"
"Evolution","Biology","Evolution; international journal of organic evolution"
"Exerc Immunol Rev","Immunology","Exercise immunology review"
"Exerc Sport Sci Rev","Sports Medicine","Exercise and sport sciences reviews"
"Exp Aging Res","Geriatrics","Experimental aging research"
"Exp Anim","Laboratory Animal Science","Experimental animals / Japanese Association for Laboratory Animal Science"
"Exp Appl Acarol","Unclassified","Experimental &applied acarology"
"Exp Biol Med (Maywood)","Medicine","Experimental biology and medicine (Maywood, N.J.)"
"Exp Brain Res","Brain","Experimental brain research"
"Exp Cell Res","Cell Biology","Experimental cell research"
"Exp Clin Psychopharmacol","Psychopharmacology","Experimental and clinical psychopharmacology"
"Exp Clin Transplant","Transplantation","Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation"
"Exp Dermatol","Dermatology","Experimental dermatology"
"Exp Diabetes Res","Endocrinology","Experimental diabetes research"
"Exp Eye Res","Ophthalmology","Experimental eye research"
"Exp Gerontol","Geriatrics","Experimental gerontology"
"Exp Hematol","Hematology","Experimental hematology"
"Exp Lung Res","Pulmonary Medicine","Experimental lung research"
"Exp Mol Med","Medicine","Experimental &molecular medicine"
"Exp Mol Pathol","Pathology","Experimental and molecular pathology"
"Exp Neurol","Neurology","Experimental neurology"
"Exp Parasitol","Parasitology","Experimental parasitology"
"Exp Physiol","Physiology","Experimental physiology"
"Exp Psychol","Psychology","Experimental psychology"
"Exp Toxicol Pathol","Pathology","Experimental and toxicologic pathology : official journal of the Gesellschaft für Toxikologische Pathologie"
"Expert Opin Biol Ther","Biology","Expert opinion on biological therapy"
"Expert Opin Drug Deliv","Pharmacology","Expert opinion on drug delivery"
"Expert Opin Drug Discov","Pharmacology","Expert opinion on drug discovery"
"Expert Opin Drug Metab Toxicol","Toxicology","Expert opinion on drug metabolism &toxicology"
"Expert Opin Drug Saf","Pharmacology","Expert opinion on drug safety"
"Expert Opin Emerg Drugs","Drug Therapy","Expert opinion on emerging drugs"
"Expert Opin Investig Drugs","Drug Therapy","Expert opinion on investigational drugs"
"Expert Opin Med Diagn","Medicine","Expert opinion on medical diagnostics"
"Expert Opin Pharmacother","Pharmacology","Expert opinion on pharmacotherapy"
"Expert Opin Ther Pat","Therapeutics","Expert opinion on therapeutic patents"
"Expert Opin Ther Targets","Therapeutics","Expert opinion on therapeutic targets"
"Expert Rev Anti Infect Ther","Anti-Infective Agents","Expert review of anti-infective therapy"
"Expert Rev Anticancer Ther","Neoplasms","Expert review of anticancer therapy"
"Expert Rev Cardiovasc Ther","Cardiology","Expert review of cardiovascular therapy"
"Expert Rev Clin Immunol","Immunology","Expert review of clinical immunology"
"Expert Rev Clin Pharmacol","Pharmacology","Expert review of clinical pharmacology"
"Expert Rev Gastroenterol Hepatol","Gastroenterology","Expert review of gastroenterology &hepatology"
"Expert Rev Hematol","Hematology","Expert review of hematology"
"Expert Rev Med Devices","Medicine","Expert review of medical devices"
"Expert Rev Mol Diagn","Molecular Biology","Expert review of molecular diagnostics"
"Expert Rev Mol Med","Medicine","Expert reviews in molecular medicine"
"Expert Rev Neurother","Neurology","Expert review of neurotherapeutics"
"Expert Rev Pharmacoecon Outcomes Res","Pharmacology","Expert review of pharmacoeconomics &outcomes research"
"Expert Rev Proteomics","Biochemistry","Expert review of proteomics"
"Expert Rev Respir Med","Medicine","Expert review of respiratory medicine"
"Expert Rev Vaccines","Allergy and Immunology","Expert review of vaccines"
"Explore (NY)","Complementary Therapies","Explore (New York, N.Y.)"
"EXS","Multidisciplinary","EXS"
"Extremophiles","Biology","Extremophiles : life under extreme conditions"
"Eye Contact Lens","Ophthalmology","Eye &contact lens"
"Fa Yi Xue Za Zhi","Jurisprudence","Fa yi xue za zhi"
"Facial Plast Surg","General Surgery","Facial plastic surgery : FPS"
"Facial Plast Surg Clin North Am","General Surgery","Facial plastic surgery clinics of North America"
"Fam Cancer","Neoplasms","Familial cancer"
"Fam Community Health","Medicine","Family &community health"
"Fam Med","Medicine","Family medicine"
"Fam Pract","Primary Health Care","Family practice"
"Fam Pract Manag","Primary Health Care","Family practice management"
"Fam Process","Unclassified","Family process"
"Fam Syst Health","Medicine","Families, systems &health : the journal of collaborative family healthcare"
"Faraday Discuss","Chemistry","Faraday discussions"
"Farm Hosp","Drug Therapy","Farmacia hospitalaria : ́rgano oficial de expresión científica de la Sociedad Española de Farmacia Hospitalaria"
"Farmaco","Drug Therapy","Farmaco (Società chimica italiana : 1989)"
"Farmakol Toksikol","Pharmacology","Farmakologiia i toksikologiia"
"FDA Consum","Pharmacology","FDA consumer"
"FEBS Lett","Biochemistry","FEBS letters"
"Female Pelvic Med Reconstr Surg","Medicine","Female pelvic medicine &reconstructive surgery"
"FEMS Immunol Med Microbiol","Medicine","FEMS immunology and medical microbiology"
"FEMS Microbiol Ecol","Microbiology","FEMS microbiology ecology"
"FEMS Microbiol Lett","Microbiology","FEMS microbiology letters"
"FEMS Microbiol Rev","Microbiology","FEMS microbiology reviews"
"FEMS Yeast Res","Microbiology","FEMS yeast research"
"Fen Zi Xi Bao Sheng Wu Xue Bao","Molecular Biology","Fen zi xi bao sheng wu xue bao = Journal of molecular cell biology / Zhongguo xi bao sheng wu xue xue hui zhu ban"
"Fertil Steril","Reproductive Medicine","Fertility and sterility"
"Fetal Diagn Ther","Medicine","Fetal diagnosis and therapy"
"Fetal Pediatr Pathol","Pediatrics","Fetal and pediatric pathology"
"Fish Physiol Biochem","Physiology","Fish physiology and biochemistry"
"Fish Shellfish Immunol","Immunology","Fish &shellfish immunology"
"Fitoterapia","Complementary Therapies","Fitoterapia"
"Fiziol Zh SSSR Im I M Sechenova","Physiology","Fiziologicheskiĭ zhurnal SSSR imeni I. M. Sechenova"
"Fla Nurse","Nursing","The Florida nurse"
"Fluids Barriers CNS","Unclassified","Fluids and barriers of the CNS"
"Fly (Austin)","Zoology","Fly"
"Focus","AIDS","Focus (San Francisco, Calif.)"
"Fogorv Sz","Dentistry","Fogorvosi szemle"
"Folia Biol (Krakow)","Biology","Folia biologica"
"Folia Histochem Cytobiol","Cell Biology","Folia histochemica et cytobiologica / Polish Academy of Sciences, Polish Histochemical and Cytochemical Society"
"Folia Med (Plovdiv)","Medicine","Folia medica"
"Folia Med Cracov","Medicine","Folia medica Cracoviensia"
"Folia Microbiol (Praha)","Microbiology","Folia microbiologica"
"Folia Morphol (Warsz)","Anatomy","Folia morphologica"
"Folia Neuropathol","Neurology","Folia neuropathologica / Association of Polish Neuropathologists and Medical Research Centre, Polish Academy of Sciences"
"Folia Phoniatr Logop","Speech-Language Pathology","Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP)"
"Food Addit Contam","Nutritional Sciences","Food additives and contaminants"
"Food Addit Contam Part A Chem Anal Control Expo Risk Assess","Nutritional Sciences","Food additives &contaminants. Part A, Chemistry, analysis, control, exposure &risk assessment"
"Food Addit Contam Part B Surveill","Nutritional Sciences","Food additives &contaminants. Part B, Surveillance"
"Food Chem","Chemistry","Food chemistry"
"Food Chem Toxicol","Toxicology","Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association"
"Food Drug Law","Veterinary Medicine","Food and drug law journal"
"Food Environ Virol","Virology","Food and environmental virology"
"Food Funct","Nutritional Sciences","Food &function"
"Food Microbiol","Microbiology","Food microbiology"
"Food Nutr Bull","Nutritional Sciences","Food and nutrition bulletin"
"Food Sci Technol Int","Nutritional Sciences","Food science and technology international = Ciencia y tecnología de los alimentos internacional"
"Foodborne Pathog Dis","Microbiology","Foodborne pathogens and disease"
"Foot (Edinb)","Orthopedics","Foot (Edinburgh, Scotland)"
"Foot Ankle Clin","Orthopedics","Foot and ankle clinics"
"Foot Ankle Int","Orthopedics","Foot &ankle international"
"Foot Ankle Spec","Orthopedics","Foot &ankle specialist"
"Foot Ankle Surg","General Surgery","Foot and ankle surgery : official journal of the European Society of Foot and Ankle Surgeons"
"Forensic Sci Int","Medicine","Forensic science international"
"Forensic Sci Int Genet","Genetics","Forensic science international. Genetics"
"Forensic Sci Med Pathol","Medicine","Forensic science, medicine, and pathology"
"Forsch Komplementmed","Complementary Therapies","Forschende Komplementärmedizin (2006)"
"Fortune","Health Services","Fortune"
"Forum Nutr","Nutritional Sciences","Forum of nutrition"
"FP Essent","Primary Health Care","FP essentials"
"Free Radic Biol Med","Medicine","Free radical biology &medicine"
"Free Radic Res","Biochemistry","Free radical research"
"Front Biosci","Biology","Frontiers in bioscience : a journal and virtual library"
"Front Biosci (Elite Ed)","Biology","Frontiers in bioscience (Elite edition)"
"Front Biosci (Landmark Ed)","Biology","Frontiers in bioscience (Landmark edition)"
"Front Biosci (Schol Ed)","Biology","Frontiers in bioscience (Scholar edition)"
"Front Cell Infect Microbiol","Microbiology","Frontiers in cellular and infection microbiology"
"Front Health Serv Manage","Health Services","Frontiers of health services management"
"Front Horm Res","Endocrinology","Frontiers of hormone research"
"Front Med","Medicine","Frontiers of medicine"
"Front Neural Circuits","Cardiology","Frontiers in neural circuits"
"Front Neuroendocrinol","Neurology","Frontiers in neuroendocrinology"
"Front Neurol Neurosci","Neurology","Frontiers of neurology and neuroscience"
"Front Radiat Ther Oncol","Neoplasms","Frontiers of radiation therapy and oncology"
"Fukuoka Igaku Zasshi","Medicine","Fukuoka igaku zasshi = Hukuoka acta medica"
"Fukushima J Med Sci","Medicine","Fukushima journal of medical science"
"Funct Integr Genomics","Computational Biology","Functional &integrative genomics"
"Funct Neurol","Neurology","Functional neurology"
"Fundam Clin Pharmacol","Pharmacology","Fundamental &clinical pharmacology"
"Fungal Biol","Microbiology","Fungal biology"
"Fungal Genet Biol","Genetics","Fungal genetics and biology : FG &"
"Future Cardiol","Cardiology","Future cardiology"
"Future Child","Unclassified","The Future of children / Center for the Future of Children, the David and Lucile Packard Foundation"
"Future Med Chem","Medicine","Future medicinal chemistry"
"Future Microbiol","Microbiology","Future microbiology"
"Future Oncol","Neoplasms","Future oncology (London, England)"
"G Ital Cardiol (Rome)","Cardiology","Giornale italiano di cardiologia (2006)"
"G Ital Med Lav Ergon","Medicine","Giornale italiano di medicina del lavoro ed ergonomia"
"G Ital Nefrol","Nephrology","Giornale italiano di nefrologia : organo ufficiale della Società italiana di nefrologia"
"G3 (Bethesda)","Genetics","G3 (Bethesda, Md.)"
"Gac Med Mex","Medicine","Gaceta médica de México"
"Gac Sanit","Public Health","Gaceta sanitaria / S.E.S.P.A.S"
"Gait Posture","Orthopedics","Gait &posture"
"Games Health","Psychology","Games for health journal"
"Gan To Kagaku Ryoho","Neoplasms","Gan to kagaku ryoho. Cancer &chemotherapy"
"Gastric Cancer","Neoplasms","Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association"
"Gastroenterol Clin Biol","Gastroenterology","Gastroentérologie clinique et biologique"
"Gastroenterol Clin North Am","Gastroenterology","Gastroenterology clinics of North America"
"Gastroenterol Hepatol","Gastroenterology","Gastroenterología y hepatología"
"Gastroenterol Nurs","Gastroenterology","Gastroenterology nursing : the official journal of the Society of Gastroenterology Nurses and Associates"
"Gastroenterology","Gastroenterology","Gastroenterology"
"Gastrointest Endosc","Gastroenterology","Gastrointestinal endoscopy"
"Gastrointest Endosc Clin N Am","Gastroenterology","Gastrointestinal endoscopy clinics of North America"
"Gen Comp Endocrinol","Endocrinology","General and comparative endocrinology"
"Gen Dent","Dentistry","General dentistry"
"Gen Hosp Psychiatry","Psychiatry","General hospital psychiatry"
"Gen Physiol Biophys","Physiology","General physiology and biophysics"
"Gen Thorac Cardiovasc Surg","General Surgery","General thoracic and cardiovascular surgery"
"Gend Med","Medicine","Gender medicine"
"Gene","Molecular Biology","Gene"
"Gene Expr","Molecular Biology","Gene expression"
"Gene Expr Patterns","Molecular Biology","Gene expression patterns : GEP"
"Genes Cells","Molecular Biology","Genes to cells : devoted to molecular &cellular mechanisms"
